Date,Open,High,Low,Close,Volume,Adj Close
12/4/2014,531.16,537.34,528.59,537.31,1388300,537.31
12/5/2014,531,532.89,524.28,525.26,2558600,525.26
12/8/2014,527.13,531,523.79,526.98,2323000,526.98
12/9/2014,522.14,534.19,520.5,533.37,1866200,533.37
12/10/2014,533.08,536.33,525.56,526.06,1707600,526.06
12/11/2014,527.8,533.92,527.1,528.34,1606400,528.34
12/12/2014,523.51,528.5,518.66,518.66,1989100,518.66
12/15/2014,522.74,523.1,513.27,513.8,2805700,513.8
12/16/2014,511.56,513.05,489,495.39,3953400,495.39
12/17/2014,497,507,496.81,504.89,2875300,504.89
12/18/2014,512.95,513.87,504.7,511.1,2918700,511.1
12/19/2014,511.51,517.72,506.91,516.35,3680100,516.35
12/22/2014,516.08,526.46,516.08,524.87,2716300,524.87
12/23/2014,527,534.56,526.29,530.59,2191600,530.59
12/24/2014,530.51,531.76,527.02,528.77,704000,528.77
12/26/2014,528.77,534.25,527.31,534.03,1033200,534.03
12/29/2014,532.19,535.48,530.01,530.33,2272300,530.33
12/30/2014,528.09,531.15,527.13,530.42,873900,530.42
12/31/2014,531.25,532.6,525.8,526.4,1364500,526.4
1/2/2015,529.01,531.27,524.1,524.81,1443600,524.81
1/5/2015,523.26,524.33,513.06,513.87,2054200,513.87
1/6/2015,515,516.17,501.05,501.96,2892000,501.96
1/7/2015,507,507.24,499.65,501.1,2059400,501.1
1/8/2015,497.99,503.48,491,502.68,3344400,502.68
1/9/2015,504.76,504.92,494.79,496.17,2063700,496.17
1/12/2015,494.94,495.98,487.56,492.55,2316000,492.55
1/13/2015,498.84,502.98,492.39,496.18,2364000,496.18
1/14/2015,494.65,503.23,493,500.87,2229600,500.87
1/15/2015,505.57,505.68,497.76,501.79,2708400,501.79
1/16/2015,500.01,508.19,500,508.08,2292000,508.08
1/20/2015,511,512.5,506.02,506.9,2221800,506.9
1/21/2015,507.25,519.28,506.2,518.04,2262500,518.04
1/22/2015,521.48,536.33,519.7,534.39,2669600,534.39
1/23/2015,535.59,542.17,533,539.95,2275500,539.95
1/26/2015,538.53,539,529.67,535.21,1539500,535.21
1/27/2015,529.97,530.7,518.19,518.63,1898800,518.63
1/28/2015,522.78,522.99,510,510,1679200,510
1/29/2015,511,511.09,501.2,510.66,4174900,510.66
1/30/2015,515.86,539.87,515.52,534.52,5591000,534.52
2/2/2015,531.73,533,518.55,528.48,2826300,528.48
2/3/2015,528,533.4,523.26,529.24,2029200,529.24
2/4/2015,529.24,532.67,521.27,522.76,1656800,522.76
2/5/2015,523.79,528.5,522.09,527.58,1840300,527.58
2/6/2015,527.64,537.2,526.41,531,1744600,531
2/9/2015,528,532,526.02,527.83,1261900,527.83
2/10/2015,529.3,537.7,526.92,536.94,1742800,536.94
2/11/2015,535.3,538.45,533.38,535.97,1358600,535.97
2/12/2015,537.25,544.82,534.67,542.93,1609600,542.93
2/13/2015,543.35,549.91,543.13,549.01,1873600,549.01
2/17/2015,546.83,550,541.09,542.84,1609200,542.84
